시도,시군구,읍면동,시설종류,공공용 시설 건물 주용도,민방위 대피시설 명칭,도로명 주소,지번 주소,확보면적,대피가능인원,시설 구축연도,시설 지정연도,
강원,속초시,영랑동,공공용,상업시설,한화리조트 설악,미시령로 2983번길 111(장사동),장사동 24-1,3597,4360,1982-05-25,1982-05-26,
강원,속초시,영랑동,공공용,지하주차장,설악비치리조텔,중앙로 346(영랑동),영랑동 148-9,3389,4107,1991-07-19,2011-03-09,
강원,속초시,영랑동,공공용,지하주차장,동진리조트오피스텔,번영로 170(영랑동),영랑동 231-2,5031,6098,1992-07-18,2011-03-09,
강원,속초시,동명동,공공용,관공서,속초시청 신청사,중앙로 183(중앙동),동명동 465-4,274,332,2003-05-03,2003-05-03,
강원,속초시,금호동,공공용,지하주차장,보람레이크더하임아파트,"영랑호반길 115-13(금호동, 보람레이크더하임)",금호동 629,2600,3151,2008-05-01,2015-05-15,
강원,속초시,금호동,공공용,지하주차장,이편한세상아파트,"미시령로 3439(금호동 ,속초e-편한세상)",금호동 627,4818,5840,2006-05-30,2006-05-30,
강원,속초시,금호동,공공용,지하주차장,생모리츠아파트,"수복로 174(금호동, 생모리츠아파트)",금호동 630,8660,10496,2011-12-05,2015-05-15,
강원,속초시,금호동,공공용,관공서,금호동주민센터,중앙시장로 43(중앙동),중앙동 496-25,777,941,1994-06-24,1994-06-24,
강원,속초시,금호동,공공용,상업시설,중앙시장 지하상가,중앙로 147번길 16(중앙동),중앙동 471-4,825,1000,1991-06-10,1991-06-10,
강원,속초시,교동,공공용,지하주차장,동부아파트,"미시령로 3359번길 15(교동, 동부아파트)",교동 781-1,3712,4499,1997-09-23,1997-09-23,
강원,속초시,교동,공공용,관공서,속초우체국연수원,교동로1길 7(교동),교동 658-21,583,706,1997-03-18,2006-06-14,
강원,속초시,노학동,공공용,지하주차장,명지미래힐아파트,"미시령로 3337번길 20(교동, 명지미래힐아파트)",교동 1027번지,4929,5974,2006-08-04,2011-03-09,
강원,속초시,노학동,공공용,지하주차장,대명늘푸른아파트,"미시령로 3337번길 7(교동, 대명늘푸른아파트)",교동 783,7596,9207,2000-09-09,2000-09-09,
강원,속초시,노학동,공공용,지하주차장,속초석미모닝파크,"수복로 12(교동, 속초석미모닝파크)",교동 984,3554,4307,2005-07-05,2005-07-05,
강원,속초시,노학동,공공용,지하주차장,삼환아파트,"밤골3길 39(교동, 삼환아파트)",교동 923,7207,8735,1994-09-27,1994-07-27,
강원,속초시,노학동,공공용,지하주차장,하우스토리아파트,"동해대로 4284(교동, 하우스토리)",교동 1029,11868,14385,2011-12-30,2015-05-15,
강원,속초시,노학동,공공용,상업시설,아남프라자,동해대로 4236(교동),교동 737-7,2729,3307,1994-06-10,1994-06-10,
강원,속초시,노학동,공공용,지하주차장,대우아파트,"동해대로 4271(교동, 청초대우아파트)",교동 961,7405,8975,1994-06-10,1998-06-30,
강원,속초시,노학동,공공용,상업시설,현대수리조트,이목로 153(노학동),노학동 729-3,3389,4107,1992-12-26,1992-12-26,
강원,속초시,노학동,공공용,상업시설,설악파인리조트,관광로 408번길 14(노학동),노학동 746-96,1320,1600,1991-07-09,1991-07-09,
강원,속초시,노학동,공공용,관공서,한국도로공사연수원,온천로 56(노학동),노학동 572,384,465,1989-07-10,1989-07-10,
강원,속초시,조양동,공공용,지하주차장,산수빌아파트,"소평로 80(조양동, 속초조양산수빌아파트)",조양동 1560,1871,2267,2005-07-07,2015-05-15,
강원,속초시,조양동,공공용,지하주차장,코아루아파트,"청대마을길 20(조양동, 속초조양코아루아파트)",조양동 1563,1672,2026,2006-10-27,2011-03-09,
강원,속초시,조양동,공공용,지하주차장,부영아파트 3단지,소평로 162(조양동),조양동 1499-2,10560,12800,1996-10-30,1996-10-30,
강원,속초시,조양동,공공용,상업시설,제일프라자,동해대로 4024(조양동),조양동 1034-4,2000,2424,2004-08-07,2015-05-15,
강원,속초시,조양동,공공용,상업시설,청초프라자,동해대로 4030(조양동),조양동 1034-49,1827,2214,2004-09-18,2015-05-15,
강원,속초시,조양동,공공용,지하주차장,부영아파트1단지,"조양로 142번길 12(조양동, 부영아파트)",조양동 1540,1180,1430,1998-11-12,2015-05-15,
강원,속초시,조양동,공공용,상업시설,신한주차복합빌딩관리단(메가박스),조양로 142번길 20(조양동),조양동 1506-1,2603,3155,2007-01-29,2015-05-15,
강원,속초시,조양동,공공용,지하주차장,삼성쉐르빌아파트,"청대로 207(조양동, 삼성 쉐르빌)",조양동 1561,3264,3956,2006-10-13,2011-03-09,
강원,속초시,조양동,공공용,지하주차장,대광로제비앙아파트,"온정로1길 11-8(조양동, 대광로제비앙아파트)",조양동 1568,11941,14473,2009-12-18,2015-05-15,
강원,속초시,조양동,공공용,지하주차장,조양2주공아파트,"온정로 24(조양동, 조양2주공아파트)",조양동 1215-1,4121,4995,1998-08-26,1998-08-26,
강원,속초시,조양동,공공용,지하주차장,성호아파트,"청대로 8(조양동, 성호아파트)",조양동 1294-23,9728,11791,2001-02-12,2001-02-12,
강원,속초시,조양동,공공용,상업시설,팜파스리조트,동해대로 3964(조양동),조양동 1401,7017,8505,1991-05-13,2011-03-09,
강원,속초시,청호동,공공용,지하주차장,속초청호아이파크아파트,청호로 22(청호동),청호동 1356번지,26652,32305,2018-01-30,2018-12-07,
강원,속초시,대포동,공공용,상업시설,켄싱턴호텔,설악산로 998(설악동),설악동 106-1,1366,1655,1979-09-25,1979-09-25,
강원,속초시,대포동,공공용,상업시설,더케이설악산가족호텔,설악산로 470-7(도문동),도문동 155,491,595,1981-12-18,1981-12-18,
강원,속초시,대포동,공공용,상업시설,베니키아호텔,동해대로 3707(대포동),대포동 790-4,1221,1480,1990-09-24,1990-09-24,
강원,속초시,대포동,공공용,상업시설,마레몬스호텔,동해대로 3705(대포동),대포동 245-5,1476,1789,2006-05-30,2015-05-15,
