순번,시군구,사물명,사물주소,진행상태,확정일자
1,강화군,인천광역시 학생종합 수련원 운동장,인천광역시 강화군 화도면 해안남로 2463 지진옥외대피장소,사물주소 확정,2019-11-19 13:51
2,강화군,인천광역시 학생종합수련원 공터,인천광역시 강화군 화도면 해안남로 2463-12 지진옥외대피장소,사물주소 확정,2019-11-19 13:50
3,강화군,심도중학교운동장,인천광역시 강화군 화도면 마니산로 697-32 지진옥외대피장소,사물주소 확정,2019-11-13 16:52
4,강화군,심도중학교운동장,인천광역시 강화군 화도면 마니산로 703-20 지진옥외대피장소,사물주소 확정,2019-11-13 16:52
5,강화군,서도초중고등학교 운동장,인천광역시 강화군 서도면 주문도길 173 지진옥외대피장소,사물주소 확정,2019-11-14 17:38
6,강화군,서도초중고등학교 운동장,인천광역시 강화군 서도면 주문도길 173-1 지진옥외대피장소,사물주소 확정,2019-11-14 17:38
7,강화군,해명초등학교 운동장,인천광역시 강화군 삼산면 삼산남로 333 지진옥외대피장소,사물주소 확정,2019-11-14 17:41
8,강화군,해명초등학교 운동장,인천광역시 강화군 삼산면 삼산남로 345 지진옥외대피장소,사물주소 확정,2019-11-14 17:41
9,강화군,승영중학교 운동장,인천광역시 강화군 삼산면 삼산북로473번길 51-7 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
10,강화군,승영중학교 운동장,인천광역시 강화군 삼산면 삼산북로473번길 47 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
11,강화군,삼산초등학교 운동장,인천광역시 강화군 삼산면 삼산북로 451 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
12,강화군,삼산초등학교 운동장,인천광역시 강화군 삼산면 삼산북로463번길 9 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
13,강화군,난정초등학교 운동장,인천광역시 강화군 교동면 교동서로378번길 28 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
14,강화군,난정초등학교 운동장,인천광역시 강화군 교동면 교동서로378번길 38 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
15,강화군,지석초등학교 운동장,인천광역시 강화군 교동면 교동북로 275-1 지진옥외대피장소,사물주소 확정,2019-11-14 17:42
16,강화군,교동중고등학교 운동장,인천광역시 강화군 교동면 교동남로 77 지진옥외대피장소,사물주소 확정,2019-11-14 17:43
17,강화군,교동초등학교 운동장,인천광역시 강화군 교동면 대룡안길 29 지진옥외대피장소,사물주소 확정,2019-11-14 17:43
18,강화군,송해초등학교 운동장,인천광역시 강화군 송해면 전망대로 93-12 지진옥외대피장소,사물주소 확정,2019-11-14 17:43
19,강화군,양사초등학교 운동장,인천광역시 강화군 양사면 덕하로 145 지진옥외대피장소,사물주소 확정,2019-11-14 17:43
20,강화군,하점초등학교 운동장,인천광역시 강화군 하점면 강화대로1204번길 6 지진옥외대피장소,사물주소 확정,2019-11-14 17:44
21,강화군,하점초등학교 운동장,인천광역시 강화군 하점면 강화대로 1190 지진옥외대피장소,사물주소 확정,2019-11-14 17:44
22,강화군,강서중학교 운동장,인천광역시 강화군 하점면 강화서로 909-19 지진옥외대피장소,사물주소 확정,2019-11-14 17:44
23,강화군,명신초등학교 운동장,인천광역시 강화군 하점면 강화서로560번길 22 지진옥외대피장소,사물주소 확정,2019-11-14 17:45
24,강화군,내가면 황청리 공터 1,인천광역시 강화군 내가면 황청포구로 339 지진옥외대피장소,사물주소 확정,2019-11-14 17:45
25,강화군,내가초등학교 운동장,인천광역시 강화군 내가면 강화서로 264 지진옥외대피장소,사물주소 확정,2019-11-14 17:45
26,강화군,삼량중고등학교운동장,인천광역시 강화군 내가면 강화서로 184 지진옥외대피장소,사물주소 확정,2019-11-14 17:46
27,강화군,조산초등학교 운동장,인천광역시 강화군 양도면 강화남로518번길 6-10 지진옥외대피장소,사물주소 확정,2019-11-14 17:46
28,강화군,조산초등학교 운동장,인천광역시 강화군 양도면 강화남로 510 지진옥외대피장소,사물주소 확정,2019-11-14 17:46
29,강화군,양도초등학교 운동장,인천광역시 강화군 양도면 강화남로1044번길 8 지진옥외대피장소,사물주소 확정,2019-11-14 17:47
30,강화군,양도초등학교 운동장,인천광역시 강화군 양도면 강화남로 1036 지진옥외대피장소,사물주소 확정,2019-11-14 17:47
31,강화군,동광중학교운동장,인천광역시 강화군 양도면 강화남로 704 지진옥외대피장소,사물주소 확정,2019-11-14 17:47
32,강화군,동광중학교운동장,인천광역시 강화군 양도면 강화남로 722-22 지진옥외대피장소,사물주소 확정,2019-11-14 17:47
33,강화군,인천광역시 학생교육원 흥왕체험학습,인천광역시 강화군 화도면 해안남로 1854 지진옥외대피장소,사물주소 확정,2019-11-20 10:18
34,강화군,마니산청소년 수련원 운동장,인천광역시 강화군 화도면 동녘말길220번길 33 지진옥외대피장소,사물주소 확정,2019-11-15 09:02
35,강화군,화이트하우스 수련원 운동장,인천광역시 강화군 화도면 마니산로543번길 19 지진옥외대피장소,사물주소 확정,2019-11-15 09:03
36,강화군,화도초등학교운동장,인천광역시 강화군 화도면 마니산로715번길 8 지진옥외대피장소,사물주소 확정,2019-11-15 09:04
37,강화군,화도초등학교운동장,인천광역시 강화군 화도면 마니산로 725 지진옥외대피장소,사물주소 확정,2019-11-15 09:04
38,강화군,화도초등학교운동장,인천광역시 강화군 화도면 마니산로 717 지진옥외대피장소,사물주소 확정,2019-11-15 09:04
39,강화군,선두2리 마을회관 공터,인천광역시 강화군 길상면 보리고개로 13 지진옥외대피장소,사물주소 확정,2019-11-15 09:06
40,강화군,온수2리 마을회관 공터,인천광역시 강화군 길상면 온수길36번길 9 지진옥외대피장소,사물주소 확정,2019-11-15 09:12
41,강화군,온수2리 마을회관 공터,인천광역시 강화군 길상면 온수길36번길 7-1 지진옥외대피장소,사물주소 확정,2019-11-15 09:12
42,강화군,초지1리 마을회관 공터,인천광역시 강화군 길상면 길상로95번길 37-13 지진옥외대피장소,사물주소 확정,2019-11-15 09:17
43,강화군,길직2리 마을회관 공터,인천광역시 강화군 길상면 강화동로 144 지진옥외대피장소,사물주소 확정,2019-11-15 09:22
44,강화군,동검리 마을회관 공터,인천광역시 강화군 길상면 동검길154번길 36-19 지진옥외대피장소,사물주소 확정,2019-11-15 09:23
45,강화군,강남중학교 운동장,인천광역시 강화군 길상면 강화남로 62-2 지진옥외대피장소,사물주소 확정,2019-11-15 10:03
46,강화군,강남중학교 운동장,인천광역시 강화군 길상면 해란길32번길 30 지진옥외대피장소,사물주소 확정,2019-11-15 10:03
47,강화군,길상초등학교 운동장,인천광역시 강화군 길상면 삼랑성길 22 지진옥외대피장소,사물주소 확정,2019-11-15 10:06
48,강화군,길상초등학교 운동장,인천광역시 강화군 길상면 삼랑성길 12 지진옥외대피장소,사물주소 확정,2019-11-15 10:06
49,강화군,삼성초등학교운동장,인천광역시 강화군 불은면 중앙로 599-14 지진옥외대피장소,사물주소 확정,2019-11-15 10:07
50,강화군,삼성초등학교운동장,인천광역시 강화군 불은면 중앙로 609 지진옥외대피장소,사물주소 확정,2019-11-15 10:07
51,강화군,불은초등학교 운동장,인천광역시 강화군 불은면 불은남로544번길 9 지진옥외대피장소,사물주소 확정,2019-11-15 10:18
52,강화군,선원초등학교 운동장,인천광역시 강화군 선원면 강화동로 924 지진옥외대피장소,사물주소 확정,2019-11-15 10:34
53,강화군,선원초등학교 운동장,인천광역시 강화군 선원면 강화동로 924-13 지진옥외대피장소,사물주소 확정,2019-11-15 10:34
54,강화군,갑룡초교운동장,인천광역시 강화군 강화읍 갑룡길 88 지진옥외대피장소,사물주소 확정,2019-11-15 10:48
55,강화군,갑룡초교운동장,인천광역시 강화군 강화읍 강화대로248번길 34 지진옥외대피장소,사물주소 확정,2019-11-15 10:48
56,강화군,합일초등학교운동장,인천광역시 강화군 강화읍 합일길 3 지진옥외대피장소,사물주소 확정,2019-11-15 10:49
57,강화군,합일초등학교운동장,인천광역시 강화군 강화읍 신문길31번길 6 지진옥외대피장소,사물주소 확정,2019-11-15 10:49
58,강화군,강화초등학교운동장,인천광역시 강화군 강화읍 북문길 36 지진옥외대피장소,사물주소 확정,2019-11-15 10:51
59,강화군,강화중학교운동장,인천광역시 강화군 강화읍 동문로 53 지진옥외대피장소,사물주소 확정,2019-11-15 15:55
60,강화군,강화여고운동장,인천광역시 강화군 강화읍 향교길 54 지진옥외대피장소,사물주소 확정,2019-11-15 16:15
61,강화군,강화여고운동장,인천광역시 강화군 강화읍 송악길 57 지진옥외대피장소,사물주소 확정,2019-11-15 16:15
62,강화군,덕신고등학교운동장,인천광역시 강화군 강화읍 고비고개로 45 지진옥외대피장소,사물주소 확정,2019-11-15 16:16
63,강화군,강화고등학교운동장,인천광역시 강화군 강화읍 고비고개로 20 지진옥외대피장소,사물주소 확정,2019-11-15 16:17
64,강화군,강화공설운동장,인천광역시 강화군 강화읍 향나무길22번길 36 지진옥외대피장소,사물주소 확정,2019-11-19 17:55
65,강화군,강화공설운동장,인천광역시 강화군 강화읍 고비고개로19번길 12 지진옥외대피장소,사물주소 확정,2019-11-19 17:55
66,옹진군,백령 중고등학교 운동장,인천광역시 옹진군 백령면 백령로 708 지진옥외대피장소,사물주소 확정,2019-11-21 16:35
67,옹진군,백령 종합운동장,인천광역시 옹진군 백령면 백령남로 450 지진옥외대피장소,사물주소 확정,2019-11-21 16:35
68,옹진군,연평초중고등학교 운동장,인천광역시 옹진군 연평면 연평로137번길 101 지진옥외대피장소,사물주소 확정,2019-11-21 16:36
69,옹진군,연평 종합운동장,인천광역시 옹진군 연평면 연평로 178 지진옥외대피장소,사물주소 확정,2019-11-21 16:39
70,옹진군,연평 종합운동장,인천광역시 옹진군 연평면 연평로 194 지진옥외대피장소,사물주소 확정,2019-11-21 16:39
71,옹진군,승봉분교운동장,인천광역시 옹진군 자월면 승봉로67번길 43-18 지진옥외대피장소,사물주소 확정,2019-11-21 16:41
72,옹진군,주차장,인천광역시 옹진군 덕적면 덕적북로 727 지진옥외대피장소,사물주소 확정,2019-11-21 16:46
73,옹진군,주차장,인천광역시 옹진군 덕적면 덕적북로 721 지진옥외대피장소,사물주소 확정,2019-11-21 16:46
74,옹진군,운동장,인천광역시 옹진군 대청면 대청남로 528 지진옥외대피장소,사물주소 확정,2019-11-21 16:54
75,옹진군,대청초등학교운동장,인천광역시 옹진군 대청면 대청로244번길 110 지진옥외대피장소,사물주소 확정,2019-11-21 16:54
76,옹진군,옥죽포어구적치장,인천광역시 옹진군 대청면 대청북로 124 지진옥외대피장소,사물주소 확정,2019-11-21 16:58
77,옹진군,건어장,인천광역시 옹진군 북도면 장봉로605번길 155 지진옥외대피장소,사물주소 확정,2019-11-21 17:46
78,옹진군,물량장,인천광역시 옹진군 북도면 장봉로 71 지진옥외대피장소,사물주소 확정,2019-11-21 17:56
79,옹진군,물량장,인천광역시 옹진군 북도면 신도로 11 지진옥외대피장소,사물주소 확정,2019-11-21 18:01
80,옹진군,물량장,인천광역시 옹진군 북도면 신도로 5 지진옥외대피장소,사물주소 확정,2019-11-21 18:01
81,옹진군,물량장,인천광역시 옹진군 덕적면 덕적북로518번길 44 지진옥외대피장소,사물주소 확정,2019-11-21 18:56
82,옹진군,물량장,인천광역시 옹진군 덕적면 덕적북로518번길 84 지진옥외대피장소,사물주소 확정,2019-11-21 18:56
83,옹진군,십리포주차장,인천광역시 옹진군 영흥면 영흥북로 411 지진옥외대피장소,사물주소 확정,2019-11-21 18:57
84,옹진군,십리포주차장,인천광역시 옹진군 영흥면 영흥북로 382 지진옥외대피장소,사물주소 확정,2019-11-21 19:25
85,옹진군,십리포주차장,인천광역시 옹진군 영흥면 영흥북로 378 지진옥외대피장소,사물주소 확정,2019-11-21 19:25
86,옹진군,선재초운동장,인천광역시 옹진군 영흥면 선재로34번길 197 지진옥외대피장소,사물주소 확정,2019-11-21 19:26
87,옹진군,영흥중운동장,인천광역시 옹진군 영흥면 내동로 107 지진옥외대피장소,사물주소 확정,2019-11-21 19:31
88,옹진군,영흥초운동장,인천광역시 옹진군 영흥면 영흥로 440-8 지진옥외대피장소,사물주소 확정,2019-11-21 19:32
89,옹진군,이작2리목섬족구장,인천광역시 옹진군 자월면 소이작로 245 지진옥외대피장소,사물주소 확정,2019-11-21 16:44
90,옹진군,이작분교운동장,인천광역시 옹진군 자월면 대이작로 66 지진옥외대피장소,사물주소 확정,2019-11-21 16:50
91,옹진군,자월분교운동장,인천광역시 옹진군 자월면 자월서로 177 지진옥외대피장소,사물주소 확정,2019-11-21 16:52
92,옹진군,체육시설,인천광역시 옹진군 덕적면 덕적남로 564-43 지진옥외대피장소,사물주소 확정,2019-11-21 19:49
93,옹진군,체육시설,인천광역시 옹진군 덕적면 덕적남로606번길 8 지진옥외대피장소,사물주소 확정,2019-11-21 19:49
94,옹진군,체육시설,인천광역시 옹진군 덕적면 덕적남로606번길 26 지진옥외대피장소,사물주소 확정,2019-11-21 19:49
95,옹진군,덕적초중고등학교 운동장,인천광역시 옹진군 덕적면 덕적남로 15 지진옥외대피장소,사물주소 확정,2019-11-21 19:49
96,옹진군,소청분교운동장,인천광역시 옹진군 대청면 소청동로 69-13 지진옥외대피장소,사물주소 확정,2019-11-21 19:50
97,옹진군,대청중고등학교 운동장,인천광역시 옹진군 대청면 대청로244번길 116-45 지진옥외대피장소,사물주소 확정,2019-11-21 20:04
98,옹진군,답동종합운동장,인천광역시 옹진군 대청면 대청로 80 지진옥외대피장소,사물주소 확정,2019-11-21 17:01
99,옹진군,삼목초장봉분교,인천광역시 옹진군 북도면 장봉로 551 지진옥외대피장소,사물주소 확정,2019-11-21 20:13
100,옹진군,삼목초장봉분교,인천광역시 옹진군 북도면 장봉로541번길 20-15 지진옥외대피장소,사물주소 확정,2019-11-21 20:13
101,옹진군,시도리운동장,인천광역시 옹진군 북도면 시도로86번길 54 지진옥외대피장소,사물주소 확정,2019-11-21 20:29
102,옹진군,공원,인천광역시 옹진군 북도면 모도로78번길 2 지진옥외대피장소,사물주소 확정,2019-11-21 20:30
103,옹진군,공원,인천광역시 옹진군 북도면 모도로 76 지진옥외대피장소,사물주소 확정,2019-11-21 20:30
104,중구,인천국제공항 화물터미널 남측2번주차장,인천광역시 중구 공항동로193번길 112 지진옥외대피장소,사물주소 확정,2019-11-19 11:02
105,중구,인천국제공항 화물터미널 북측2번주차장,인천광역시 중구 공항동로295번길 77-96 지진옥외대피장소,사물주소 확정,2019-11-19 10:56
106,중구,인천국제공항 제2여객터미널 썬큰가든,인천광역시 중구 제2터미널대로 444-1 지진옥외대피장소,사물주소 확정,2019-11-19 10:52
107,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 66 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
108,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 40-115 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
109,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 40-69 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
110,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 74 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
111,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 82 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
112,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 40-99 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
113,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 40-85 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
114,중구,인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 60 지진옥외대피장소,사물주소 확정,2019-11-13 13:22
115,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 59 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
116,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 41-10 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
117,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 77-27 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
118,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 75 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
119,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 67 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
120,중구,인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 51 지진옥외대피장소,사물주소 확정,2019-11-13 13:08
121,중구,인천국제공항 제2여객터미널 제2합동청사주차장,인천광역시 중구 제2터미널대로 444 지진옥외대피장소,사물주소 확정,2019-11-13 13:10
122,중구,인천국제공항 제1국제여객터미널 서측귀빈주차장,인천광역시 중구 공항로 302 지진옥외대피장소,사물주소 확정,2019-11-13 13:05
123,중구,인천국제공항 제1국제여객터미널 장기주차장,인천광역시 중구 공항로 421 지진옥외대피장소,사물주소 확정,2019-11-13 13:01
124,중구,영종하늘체육공원,인천광역시 중구 하늘중앙로 224 지진옥외대피장소,사물주소 확정,2019-11-06 14:42
125,중구,연안부두 해양광장,인천광역시 중구 연안부두로 42 지진옥외대피장소,사물주소 확정,2019-11-08 16:57
126,중구,연안부두 해양광장,인천광역시 중구 연안부두로 46 지진옥외대피장소,사물주소 확정,2019-11-08 16:57
127,중구,연안부두 해양광장,인천광역시 중구 연안부두로 38 지진옥외대피장소,사물주소 확정,2019-11-08 16:57
128,중구,율목공원,인천광역시 중구 율목로 29 지진옥외대피장소,사물주소 확정,2019-11-06 15:59
129,중구,율목공원,인천광역시 중구 율목로 35 지진옥외대피장소,사물주소 확정,2019-11-06 15:59
130,중구,율목공원,인천광역시 중구 율목로 25 지진옥외대피장소,사물주소 확정,2019-11-06 15:59
131,중구,답동소공원,인천광역시 중구 우현로 26 지진옥외대피장소,사물주소 확정,2019-11-07 13:07
132,중구,답동소공원,인천광역시 중구 우현로 24-5 지진옥외대피장소,사물주소 확정,2019-11-07 13:07
133,중구,답동소공원,인천광역시 중구 우현로 24-15 지진옥외대피장소,사물주소 확정,2019-11-07 13:07
134,중구,답동소공원,인천광역시 중구 제물량로 145 지진옥외대피장소,사물주소 확정,2019-11-07 13:07
135,중구,공항합동청사 잔디광장,인천광역시 중구 공항로424번길 45 지진옥외대피장소,사물주소 확정,2019-11-08 13:42
136,중구,공항합동청사 잔디광장,인천광역시 중구 공항로424번길 33 지진옥외대피장소,사물주소 확정,2019-11-08 13:42
137,중구,공항합동청사 축구장,인천광역시 중구 공항로424번길 47 지진옥외대피장소,사물주소 확정,2019-11-12 10:12
138,중구,인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 공항동로193번길 8 지진옥외대피장소,사물주소 확정,2019-11-13 12:00
139,중구,인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 공항동로193번길 26 지진옥외대피장소,사물주소 확정,2019-11-13 12:00
140,중구,인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 공항동로193번길 8-1 지진옥외대피장소,사물주소 확정,2019-11-13 12:00
141,중구,인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 공항동로193번길 40-22 지진옥외대피장소,사물주소 확정,2019-11-13 12:00
142,중구,인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 공항동로193번길 40-14 지진옥외대피장소,사물주소 확정,2019-11-13 12:00
143,중구,인천국제공항 제2여객터미널 장기주차장,인천광역시 중구 제2터미널대로 346 지진옥외대피장소,사물주소 확정,2019-11-13 11:58
144,중구,인천국제공항 제1여객터미널 동측귀빈주차장,인천광역시 중구 공항로 240 지진옥외대피장소,사물주소 확정,2019-11-07 13:25
145,중구,용유초등학교 무의분교장 운동장,인천광역시 중구 대무의로 302-17 지진옥외대피장소,사물주소 확정,2019-11-08 11:38
146,중구,용유초등학교 무의분교장 운동장,인천광역시 중구 대무의로 288-21 지진옥외대피장소,사물주소 확정,2019-11-08 11:38
147,중구,용유중학교 운동장,인천광역시 중구 남북로87번길 4 지진옥외대피장소,사물주소 확정,2019-11-08 13:40
148,중구,영마루공원,인천광역시 중구 신도시북로140번길 38 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
149,중구,영마루공원,인천광역시 중구 신도시북로 32 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
150,중구,영마루공원,인천광역시 중구 신도시북로140번길 38-1 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
151,중구,영마루공원,인천광역시 중구 신도시북로 18 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
152,중구,영마루공원,인천광역시 중구 신도시북로140번길 26 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
153,중구,영마루공원,인천광역시 중구 신도시북로 78 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
154,중구,영마루공원,인천광역시 중구 영종대로 71 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
155,중구,영마루공원,인천광역시 중구 신도시북로88번길 38 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
156,중구,영마루공원,인천광역시 중구 영종대로 77 지진옥외대피장소,사물주소 확정,2019-11-13 11:53
157,중구,유수지공원,인천광역시 중구 신도시북로 31-35 지진옥외대피장소,사물주소 확정,2019-11-08 13:40
158,중구,운남초등학교 운동장,인천광역시 중구 운남서로 38 지진옥외대피장소,사물주소 확정,2019-11-08 11:58
159,중구,운남초등학교 운동장,인천광역시 중구 운남서로 36 지진옥외대피장소,사물주소 확정,2019-11-08 11:58
160,중구,운서초등학교 운동장,인천광역시 중구 운서2로 67 지진옥외대피장소,사물주소 확정,2019-11-08 11:39
161,중구,운서초등학교 운동장,인천광역시 중구 운서2로 57 지진옥외대피장소,사물주소 확정,2019-11-08 11:39
162,중구,영종초등학교 운동장,인천광역시 중구 하늘달빛로 133 지진옥외대피장소,사물주소 확정,2019-11-08 11:38
163,중구,인천공항초등학교 운동장,인천광역시 중구 흰바위로 10 지진옥외대피장소,사물주소 확정,2019-11-08 11:49
164,중구,인천공항초등학교 운동장,인천광역시 중구 신도시남로 43 지진옥외대피장소,사물주소 확정,2019-11-08 11:49
165,중구,인천공항중학교 운동장,인천광역시 중구 영종대로27번길 49 지진옥외대피장소,사물주소 확정,2019-11-08 11:35
166,중구,삼목초등학교 운동장,인천광역시 중구 신도시북로 42 지진옥외대피장소,사물주소 확정,2019-11-08 11:35
167,중구,송월초등학교 운동장,인천광역시 중구 자유공원로 106-7 지진옥외대피장소,사물주소 확정,2019-11-08 11:32
168,중구,송월초등학교 운동장,인천광역시 중구 참외전로 52-9 지진옥외대피장소,사물주소 확정,2019-11-08 11:32
169,중구,자유공원,인천광역시 중구 제물량로232번길 46 지진옥외대피장소,사물주소 확정,2019-11-08 11:33
170,중구,자유공원,인천광역시 중구 자유공원남로 23 지진옥외대피장소,사물주소 확정,2019-11-08 11:33
171,중구,자유공원,인천광역시 중구 자유공원로 65 지진옥외대피장소,사물주소 확정,2019-11-08 11:33
